ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source,cause
,cdn-far.example,https://cdn-far.example/,19,25.288,126.262,329.767,1465.621,46.98,1993.919,255447,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM
,legacy.example,https://legacy.example/,18,0.0,79.492,83.615,6190.662,33.49,6387.26,369325,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM
,legacy.example,https://legacy.example/,8,37.987,91.94,249.544,733.944,32.949,1146.364,180951,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,17,12.048,11.142,36.599,52.85,5.74,118.379,121581,200.0,cold,0,1,,,synthetic,NORMAL
,media.example,https://media.example/,15,31.629,17.908,47.24,31.847,82.165,210.789,1239161,200.0,cold,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,22,0.0,27.622,105.225,848.806,3.86,985.513,27432,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM
,cdn-far.example,https://cdn-far.example/,5,30.003,0.0,0.0,741.936,11.072,783.011,135177,200.0,cold,1,1,,,synthetic,HTTP_PROBLEM
,media.example,https://media.example/,5,0.0,31.685,101.002,1046.597,84.574,1263.857,1780571,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM
,shop.example,https://shop.example/,3,0.0,473.823,40.141,184.583,30.538,729.085,316484,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM
,shop.example,https://shop.example/,2,16.846,35.669,733.469,302.85,68.866,1157.701,448609,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,22,0.0,120.248,144.633,368.867,211.809,845.557,912023,200.0,warm,0,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,14,0.0,28.909,90.88,271.274,16.025,407.087,265311,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,5,12.804,67.699,23.152,54.918,8.486,167.059,52068,200.0,cold,0,1,,,synthetic,CONNECT_PROBLEM
,api.example,https://api.example/,21,0.0,40.01,421.932,206.361,7.368,675.671,44046,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,4,10.666,66.76,1508.94,193.193,78.501,1858.059,251211,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,18,18.638,30.707,101.363,214.221,89.708,454.637,743752,200.0,cold,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,20,16.834,118.884,151.294,3999.034,118.669,4404.715,568663,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM
,cdn-far.example,https://cdn-far.example/,4,0.0,0.0,0.0,53.473,52.241,105.714,254490,200.0,warm,1,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,2,10.982,43.905,24.572,23.339,15.638,118.435,131229,200.0,cold,0,1,,,synthetic,CONNECT_PROBLEM
,legacy.example,https://legacy.example/,20,25.876,67.077,200.962,3247.263,65.652,3606.83,315156,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM
,cdn-far.example,https://cdn-far.example/,0,318.943,92.579,133.032,66.514,4.476,615.545,69265,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,api.example,https://api.example/,17,30.178,10.759,33.317,83.776,7.285,165.315,57291,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,6,7.664,9.574,35.86,83.005,26.675,162.778,103996,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,9,0.0,160.384,3181.75,0.0,0.0,3342.134,0,,warm,0,0,TLS,,synthetic,TLS_PROBLEM
,legacy.example,https://legacy.example/,17,43.53,52.446,904.879,297.208,33.861,1331.924,312171,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,legacy.example,https://legacy.example/,9,70.295,0.0,0.0,7585.768,70.045,7726.108,250852,200.0,cold,1,1,,,synthetic,HTTP_PROBLEM
,api.example,https://api.example/,21,0.0,388.226,143.111,127.984,5.469,664.791,21626,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM
,legacy.example,https://legacy.example/,14,71.711,41.998,170.785,368.596,21.082,674.172,198934,200.0,cold,0,1,,,synthetic,NORMAL
,media.example,https://media.example/,8,294.493,63.949,84.517,66.455,435.345,944.758,2345589,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,cdn-near.example,https://cdn-near.example/,7,0.0,0.0,0.0,340.607,8.665,349.272,113706,200.0,warm,1,1,,,synthetic,HTTP_PROBLEM
,media.example,https://media.example/,11,17.173,47.669,173.478,1410.358,226.25,1874.928,1465333,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM
,cdn-near.example,https://cdn-near.example/,0,0.0,0.0,0.0,21.415,4.482,25.896,58320,200.0,warm,1,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,7,0.0,40.799,93.922,372.301,23.51,530.531,274988,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,0,7.841,0.0,0.0,29.54,17.762,55.143,129852,200.0,cold,1,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,20,0.0,0.0,0.0,231.607,167.899,399.505,1105590,200.0,warm,1,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,22,0.0,145.323,242.342,97.404,16.83,501.9,155154,200.0,warm,0,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,0,198.89,23.379,104.414,331.139,52.399,710.22,754681,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,cdn-far.example,https://cdn-far.example/,22,18.112,165.451,331.1,105.523,31.006,651.193,267786,200.0,cold,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,7,0.0,18.462,39.41,191.935,4.919,254.726,60769,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,21,0.0,157.661,62.583,56.379,25.683,302.305,89830,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM
,api.example,https://api.example/,21,0.0,24.066,55.475,177.508,9.021,266.07,31131,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,0,0.0,84.55,167.828,94.475,15.288,362.141,173295,200.0,warm,0,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,13,37.269,47.86,144.024,261.945,21.656,512.754,224408,200.0,cold,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,9,0.0,53.579,59.311,73.35,1.758,187.998,10091,200.0,warm,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,9,25.908,20.452,4749.118,0.0,0.0,4795.479,0,,cold,0,0,TLS,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,0,0.0,51.631,136.112,12021.105,154.059,12362.908,815000,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM
,api.example,https://api.example/,11,0.0,26.498,75.16,56.797,6.129,164.585,35725,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,2,15.629,81.527,165.305,68.148,23.944,354.552,164809,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,23,0.0,0.0,0.0,65.295,15.012,80.307,87515,200.0,warm,1,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,21,44.256,170.529,213.393,245.073,33.559,706.812,131039,200.0,cold,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,13,0.0,0.0,0.0,1239.525,30.213,1269.738,345981,200.0,warm,1,1,,,synthetic,HTTP_PROBLEM
,cdn-near.example,https://cdn-near.example/,18,0.0,7.199,19.307,44.907,7.124,78.538,53807,200.0,warm,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,9,0.0,56.639,113.396,3377.88,2.044,3549.96,9996,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM
,cdn-near.example,https://cdn-near.example/,18,5625.711,0.0,0.0,0.0,0.0,5625.711,0,,cold,0,0,DNS,,synthetic,DNS_PROBLEM
,media.example,https://media.example/,4,0.0,0.0,0.0,1000.732,175.527,1176.259,2355814,200.0,warm,1,1,,,synthetic,HTTP_PROBLEM
,api.example,https://api.example/,4,17.57,13.948,21.606,43.691,3.761,100.575,50798,200.0,cold,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,14,10.562,0.0,0.0,668.822,0.338,679.722,2069,502.0,cold,1,0,HTTP,,synthetic,HTTP_PROBLEM
,shop.example,https://shop.example/,10,0.0,23.848,122.753,178.337,24.433,349.371,262204,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,14,0.0,7.577,152.694,38.359,7.543,206.173,79219,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,media.example,https://media.example/,17,0.0,447.358,139.267,135.234,398.214,1120.073,1789366,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM
,shop.example,https://shop.example/,19,11.684,101.395,124.744,205.756,81.391,524.97,315772,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,4,0.0,51.383,34.06,53.145,6.293,144.882,32122,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM
,cdn-near.example,https://cdn-near.example/,1,0.0,8.235,38.37,78.695,7.358,132.659,69730,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,20,288.363,91.794,221.677,110.476,11.042,723.352,88903,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,media.example,https://media.example/,2,0.0,36.604,95.746,59.164,370.32,561.834,3813427,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,6,0.0,51.684,364.254,174.55,31.567,622.055,304977,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,media.example,https://media.example/,22,21.781,83.881,240.098,485.386,0.601,831.747,2491,500.0,cold,0,0,HTTP,,synthetic,HTTP_PROBLEM
,cdn-near.example,https://cdn-near.example/,10,0.0,43.922,42.772,70.251,13.225,170.171,118014,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM
,cdn-far.example,https://cdn-far.example/,1,0.0,78.989,3622.654,103.142,38.984,3843.769,301586,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,cdn-far.example,https://cdn-far.example/,3,271.767,112.81,208.162,54.613,14.82,662.173,127414,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,cdn-near.example,https://cdn-near.example/,3,19.463,5.177,233.033,31.523,7.173,296.368,93891,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,cdn-far.example,https://cdn-far.example/,8,0.0,121.199,193.737,108.109,26.636,449.681,239956,200.0,warm,0,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,23,40.019,163.565,93.205,317.178,33.426,647.392,169688,200.0,cold,0,1,,,synthetic,NORMAL
,media.example,https://media.example/,6,37.575,29.703,647.349,40.792,60.825,816.244,709949,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,cdn-near.example,https://cdn-near.example/,19,80.343,14.58,31.659,75.888,20.313,222.784,91671,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,media.example,https://media.example/,21,0.0,180.813,425.858,106.293,164.605,877.57,1159787,200.0,warm,0,1,,,synthetic,NORMAL
,media.example,https://media.example/,2,0.0,0.0,0.0,50.213,139.331,189.544,1315736,200.0,warm,1,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,1,0.0,134.221,240.798,41.725,20.273,437.017,71977,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,14,20.785,37.117,477.393,203.431,79.742,818.467,766551,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,media.example,https://media.example/,4,0.0,37.896,96.189,1674.294,0.113,1808.492,1516,503.0,warm,0,0,HTTP,,synthetic,HTTP_PROBLEM
,media.example,https://media.example/,13,0.0,21.723,89.868,446.011,187.046,744.648,2989639,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM
,shop.example,https://shop.example/,8,0.0,40.923,166.925,300.765,136.151,644.765,792691,200.0,warm,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,18,4434.824,0.0,0.0,0.0,0.0,4434.824,0,,cold,0,0,DNS,,synthetic,DNS_PROBLEM
,legacy.example,https://legacy.example/,22,0.0,49.064,295.166,4181.364,93.076,4618.671,348180,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM
,legacy.example,https://legacy.example/,20,0.0,104.933,290.033,294.611,54.157,743.735,220696,200.0,warm,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,22,0.0,40.75,522.83,62.397,1.825,627.802,15555,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,api.example,https://api.example/,3,28.524,21.532,72.513,65.296,7.314,195.179,46423,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,15,13.296,0.0,0.0,25.701,7.494,46.491,86627,200.0,cold,1,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,11,76.685,58.258,527.924,681.042,31.361,1375.269,276054,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,4,24.803,146.759,64.606,212.315,36.831,485.314,279109,200.0,cold,0,1,,,synthetic,CONNECT_PROBLEM
,api.example,https://api.example/,1,0.0,10.127,69.074,77.256,4.368,160.825,30909,200.0,warm,0,1,,,synthetic,NORMAL
,media.example,https://media.example/,4,23.045,32.106,130.278,1560.154,313.372,2058.954,2434011,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM
,cdn-near.example,https://cdn-near.example/,10,0.0,4.935,28.645,18.362,9.295,61.237,109041,200.0,warm,0,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,4,0.0,0.0,0.0,801.162,62.089,863.251,415226,200.0,warm,1,1,,,synthetic,NORMAL
,media.example,https://media.example/,15,0.0,0.0,0.0,52.257,94.238,146.495,1378750,200.0,warm,1,1,,,synthetic,NORMAL
,media.example,https://media.example/,8,43.647,45.307,3014.0,225.059,116.632,3444.645,1203728,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,media.example,https://media.example/,20,0.0,0.0,0.0,127.058,147.588,274.645,1168570,200.0,warm,1,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,19,0.0,45.041,83.624,397.873,110.274,636.813,510719,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,6,0.0,46.648,270.979,53.174,7.151,377.951,165733,200.0,warm,0,1,,,synthetic,NORMAL
,media.example,https://media.example/,0,0.0,41.044,528.461,126.515,89.672,785.692,1740893,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,10,25.441,42.215,64.441,155.143,57.206,344.446,260858,200.0,cold,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,8,14.169,79.051,62.683,2017.376,10.809,2184.088,60070,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM
,cdn-near.example,https://cdn-near.example/,17,0.0,10.323,37.959,41.718,13.708,103.708,91120,200.0,warm,0,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,19,0.0,5751.224,0.0,0.0,0.0,5751.224,0,,warm,0,0,CONNECT,,synthetic,CONNECT_PROBLEM
,legacy.example,https://legacy.example/,8,40.962,77.104,195.918,168.708,14.314,497.006,132467,200.0,cold,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,1,6.876,40.836,100.774,383.185,0.236,531.907,2464,503.0,cold,0,0,HTTP,,synthetic,HTTP_PROBLEM
,shop.example,https://shop.example/,9,12.866,74.554,77.171,248.504,218.548,631.643,1136523,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,7,0.0,4.476,24.423,713.16,0.246,742.305,1355,503.0,warm,0,0,HTTP,,synthetic,HTTP_PROBLEM
,shop.example,https://shop.example/,0,0.0,26.762,78.294,138.401,37.868,281.325,300104,200.0,warm,0,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,23,0.0,76.094,157.138,453.356,64.393,750.981,305219,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,20,37.911,140.312,387.274,85.283,37.135,687.915,135054,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,3,0.0,68.723,228.575,64.254,19.44,380.992,173182,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,15,0.0,54.312,1308.145,133.278,34.327,1530.062,455487,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,5,0.0,33.575,62.567,236.103,394.547,726.792,2286248,200.0,warm,0,1,,,synthetic,NORMAL
,media.example,https://media.example/,15,0.0,59.22,3927.775,0.0,0.0,3986.995,0,,warm,0,0,TLS,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,12,26.31,16.248,938.643,181.357,69.861,1232.419,480897,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,cdn-far.example,https://cdn-far.example/,14,0.0,160.762,216.414,61.698,9.262,448.137,111280,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,18,0.0,47.872,1755.292,68.313,66.588,1938.064,472876,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,legacy.example,https://legacy.example/,1,0.0,41.45,115.433,161.368,27.489,345.74,328672,200.0,warm,0,1,,,synthetic,NORMAL
,media.example,https://media.example/,5,18.129,19.9,547.722,49.555,334.846,970.151,3406596,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,legacy.example,https://legacy.example/,18,37.884,4238.53,0.0,0.0,0.0,4276.415,0,,cold,0,0,CONNECT,,synthetic,CONNECT_PROBLEM
,cdn-near.example,https://cdn-near.example/,9,13.037,133.9,33.465,62.353,36.893,279.648,153851,200.0,cold,0,1,,,synthetic,CONNECT_PROBLEM
,cdn-near.example,https://cdn-near.example/,3,14.837,4.173,37.273,22.993,3.36,82.636,66166,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,2,12.159,7.887,218.706,42.487,5.778,287.017,44814,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,cdn-near.example,https://cdn-near.example/,1,0.0,0.0,0.0,46.359,3.661,50.02,47828,200.0,warm,1,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,15,19.064,68.95,146.851,51.762,20.116,306.744,248378,200.0,cold,0,1,,,synthetic,NORMAL
,media.example,https://media.example/,6,15.235,4993.858,0.0,0.0,0.0,5009.093,0,,cold,0,0,CONNECT,,synthetic,CONNECT_PROBLEM
,api.example,https://api.example/,19,22.195,31.711,49.056,146.147,1.461,250.57,14612,200.0,cold,0,1,,,synthetic,NORMAL
,legacy.example,https://legacy.example/,2,0.0,93.32,202.484,186.475,29.074,511.353,357192,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,3,0.0,47.115,27.605,42.667,14.742,132.129,69532,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM
,cdn-near.example,https://cdn-near.example/,7,0.0,8.248,44.118,23.099,3.491,78.956,34350,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,8,21.323,51.057,64.965,3089.304,140.188,3366.837,980840,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM
,cdn-far.example,https://cdn-far.example/,22,25.507,131.849,4435.104,175.892,31.23,4799.582,149805,200.0,cold,0,1,,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,19,0.0,0.0,0.0,779.673,28.803,808.475,192227,200.0,warm,1,1,,,synthetic,HTTP_PROBLEM
,shop.example,https://shop.example/,23,21.257,37.938,110.653,417.88,147.696,735.424,648222,200.0,cold,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,5,0.0,82.573,156.745,718.864,0.142,958.323,1702,502.0,warm,0,0,HTTP,,synthetic,HTTP_PROBLEM
,cdn-far.example,https://cdn-far.example/,14,0.0,129.171,95.801,74.484,29.991,329.448,291900,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,0,10.422,29.486,2594.033,0.0,0.0,2633.942,0,,cold,0,0,TLS,,synthetic,TLS_PROBLEM
,api.example,https://api.example/,10,0.0,31.571,73.693,954.63,0.389,1060.283,2333,503.0,warm,0,0,HTTP,,synthetic,HTTP_PROBLEM
,media.example,https://media.example/,5,93.888,39.758,164.778,78.472,146.22,523.116,885511,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,media.example,https://media.example/,17,25.844,19.892,73.558,47.717,461.957,628.967,3519286,200.0,cold,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,22,52.2,31.855,55.137,68.239,6.08,213.51,21173,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,media.example,https://media.example/,9,0.0,75.977,3125.807,0.0,0.0,3201.784,0,,warm,0,0,TLS,,synthetic,TLS_PROBLEM
,shop.example,https://shop.example/,16,0.0,36.235,78.482,172.033,87.959,374.709,792995,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,6,9.279,317.242,150.321,253.911,127.052,857.806,579901,200.0,cold,0,1,,,synthetic,CONNECT_PROBLEM
,cdn-far.example,https://cdn-far.example/,3,0.0,112.882,257.13,78.672,25.441,474.124,232280,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,21,10.244,10.374,59.077,577.104,0.371,657.17,2925,500.0,cold,0,0,HTTP,,synthetic,HTTP_PROBLEM
,api.example,https://api.example/,7,15.86,15.773,34.765,92.75,2.795,161.943,32488,200.0,cold,0,1,,,synthetic,NORMAL
,media.example,https://media.example/,23,0.0,87.017,67.017,136.396,168.754,459.185,1451302,200.0,warm,0,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,4,0.0,90.985,327.18,55.668,15.389,489.222,166110,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,8,0.0,96.517,221.437,2495.678,57.299,2870.931,303708,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM
,media.example,https://media.example/,5,202.268,32.79,67.591,156.149,218.504,677.302,2112631,200.0,cold,0,1,,,synthetic,DNS_PROBLEM
,shop.example,https://shop.example/,0,0.0,0.0,0.0,115.633,54.839,170.472,467203,200.0,warm,1,1,,,synthetic,NORMAL
,cdn-far.example,https://cdn-far.example/,4,0.0,108.876,233.288,46.456,12.314,400.934,155179,200.0,warm,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,22,0.0,57.096,938.441,335.079,128.858,1459.474,801854,200.0,warm,0,1,,,synthetic,TLS_PROBLEM
,cdn-near.example,https://cdn-near.example/,22,9.347,11.733,31.465,42.108,30.877,125.53,185669,200.0,cold,0,1,,,synthetic,NORMAL
,shop.example,https://shop.example/,2,0.0,0.0,0.0,233.845,82.856,316.702,680098,200.0,warm,1,1,,,synthetic,NORMAL
,cdn-near.example,https://cdn-near.example/,21,12.187,9.524,50.163,70.419,8.978,151.273,101505,200.0,cold,0,1,,,synthetic,NORMAL
,api.example,https://api.example/,13,13.141,24.172,44.87,892.009,2.633,976.824,28993,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM
,cdn-far.example,https://cdn-far.example/,6,0.0,652.932,138.834,91.515,15.221,898.503,119482,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM
