ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source,cause,dns_share,tcp_share,tls_share,server_share,transfer_share,log_total,log_size,is_peak_hour,cache_warm,handshake_ms,tls_over_tcp,label,label_source
,media.example,https://media.example/,22,20.644,72.566,377.298,229.725,211.848,912.082,1203075,200.0,cold,0,1,,,synthetic,NORMAL,0.02263392984402718,0.07956082896055398,0.41366675364715016,0.2518688012700612,0.23226858988555854,6.816825690362608,14.00039216835618,1,0,449.86400000000003,5.128700758502569,NORMAL,ground_truth
,shop.example,https://shop.example/,11,0.0,25.03,241.291,178.368,35.798,480.486,313042,200.0,warm,0,1,,,synthetic,TLS_PROBLEM,0.0,0.05209308908063919,0.5021811249443272,0.3712241355627427,0.07450373163838281,6.176877155010694,12.65409584027819,0,1,266.321,9.269727237802535,TLS_PROBLEM,ground_truth
,cdn-near.example,https://cdn-near.example/,15,0.0,0.0,0.0,22.34,7.638,29.978,230899,200.0,warm,1,1,,,synthetic,NORMAL,0.0,0.0,0.0,0.7452131563146307,0.25478684368536925,3.433277275125567,12.349739995342587,0,1,0.0,0.0,NORMAL,ground_truth
,media.example,https://media.example/,1,0.0,38.649,128.991,87.174,161.435,416.25,1527183,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.09285045045045046,0.3098882882882883,0.20942702702702704,0.38783183183183184,6.033685562541945,14.238936074649429,0,1,167.64000000000001,3.2533229085222835,NORMAL,ground_truth
,shop.example,https://shop.example/,2,0.0,0.0,0.0,237.288,87.66,324.948,883510,200.0,warm,1,1,,,synthetic,NORMAL,0.0,0.0,0.0,0.7302337604785998,0.26976623952140033,5.786737859441308,13.691659021145423,0,1,0.0,0.0,NORMAL,ground_truth
,legacy.example,https://legacy.example/,7,38.661,126.03,236.398,369.79,32.083,802.962,209761,200.0,cold,0,1,,,synthetic,NORMAL,0.0481479820962885,0.156956369043616,0.294407456392706,0.4605323788672441,0.03995581360014546,6.6895520043804115,12.253728833658403,0,0,362.428,1.8609619774856332,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,20,14.069,8.814,2816.846,0.0,0.0,2839.729,0,,cold,0,0,TLS,,synthetic,TLS_PROBLEM,0.004954345995691843,0.003103817300876246,0.991941836703432,0.0,0.0,7.951815988356819,0.0,1,0,2825.66,287.0232321173833,TLS_PROBLEM,ground_truth
,cdn-far.example,https://cdn-far.example/,12,182.156,108.698,144.463,102.326,76.182,613.825,340030,200.0,cold,0,1,,,synthetic,DNS_PROBLEM,0.29675558994827517,0.17708304484177084,0.2353488372093023,0.16670223597931005,0.12411029202134158,6.4213376744681465,12.736792068906611,0,0,253.161,1.316915531732575,DNS_PROBLEM,ground_truth
,cdn-far.example,https://cdn-far.example/,16,37.749,104.309,355.379,76.857,24.22,598.514,216881,200.0,cold,0,1,,,synthetic,NORMAL,0.06307120635440441,0.1742799667175705,0.5937689009780891,0.12841303628653633,0.04046688966339968,6.396119326988892,12.287108705819442,0,0,459.688,3.3746308482655807,NORMAL,ground_truth
,legacy.example,https://legacy.example/,15,37.418,4746.265,0.0,0.0,0.0,4783.683,0,,cold,0,0,CONNECT,,synthetic,CONNECT_PROBLEM,0.007822006600353744,0.9921779933996463,0.0,0.0,0.0,8.473175052998679,0.0,0,0,4746.265,0.0,CONNECT_PROBLEM,ground_truth
,cdn-far.example,https://cdn-far.example/,19,25.288,126.262,329.767,1465.621,46.98,1993.919,255447,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM,0.012682561327716923,0.06332353520880236,0.16538635721912473,0.7350454055555918,0.023561639163877768,7.598358726995941,12.450774145407488,1,0,456.029,2.591244833493109,HTTP_PROBLEM,ground_truth
,legacy.example,https://legacy.example/,18,0.0,79.492,83.615,6190.662,33.49,6387.26,369325,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM,0.0,0.012445399122628483,0.013090902828442868,0.969220291643052,0.005243249844221153,8.762217209821593,12.819435001828463,0,1,163.107,1.0387988868458977,HTTP_PROBLEM,ground_truth
,legacy.example,https://legacy.example/,8,37.987,91.94,249.544,733.944,32.949,1146.364,180951,200.0,cold,0,1,,,synthetic,NORMAL,0.033136944286457005,0.08020140199796923,0.21768303959300886,0.6402364345007344,0.02874217962183041,7.045222416392307,12.105987081707816,1,0,341.48400000000004,2.685001075962987,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,17,12.048,11.142,36.599,52.85,5.74,118.379,121581,200.0,cold,0,1,,,synthetic,NORMAL,0.10177480803182996,0.09412142356330092,0.3091680112182059,0.44644742733086107,0.04848832985580213,4.782303306092922,11.708344211241437,0,0,47.741,3.0142480645692635,NORMAL,ground_truth
,media.example,https://media.example/,15,31.629,17.908,47.24,31.847,82.165,210.789,1239161,200.0,cold,0,1,,,synthetic,NORMAL,0.1500505244581074,0.08495699490960155,0.2241103662904611,0.15108473402312267,0.38979738031870736,5.355590496030117,14.02994590266949,0,0,65.148,2.4984133700021154,NORMAL,ground_truth
,api.example,https://api.example/,22,0.0,27.622,105.225,848.806,3.86,985.513,27432,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM,0.0,0.028028042248047464,0.10677180311167889,0.8612834128012518,0.00391674183902191,6.894176503277515,10.219501947254944,1,1,132.84699999999998,3.6763678289427713,HTTP_PROBLEM,ground_truth
,cdn-far.example,https://cdn-far.example/,5,30.003,0.0,0.0,741.936,11.072,783.011,135177,200.0,cold,1,1,,,synthetic,HTTP_PROBLEM,0.03831746935866802,0.0,0.0,0.9475422439786926,0.014140286662639476,6.664423050864224,11.814347707456866,0,0,0.0,0.0,HTTP_PROBLEM,ground_truth
,media.example,https://media.example/,5,0.0,31.685,101.002,1046.597,84.574,1263.857,1780571,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM,0.0,0.02507008308693151,0.07991568666391846,0.8280976407932227,0.06691738068468189,7.142714351293464,14.392445218961564,0,1,132.68699999999998,3.0901636836469324,HTTP_PROBLEM,ground_truth
,shop.example,https://shop.example/,3,0.0,473.823,40.141,184.583,30.538,729.085,316484,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM,0.0,0.6498871873649849,0.05505668063394528,0.25317075512457393,0.04188537687649588,6.593160965720182,12.665031126078338,0,1,513.9639999999999,0.08453887027376517,CONNECT_PROBLEM,ground_truth
,shop.example,https://shop.example/,2,16.846,35.669,733.469,302.85,68.866,1157.701,448609,200.0,cold,0,1,,,synthetic,TLS_PROBLEM,0.014551252870991732,0.03081020056128482,0.6335565055225831,0.26159604250147495,0.05948513476277553,7.055054829038806,13.013909192393577,0,0,769.138,20.002427118274294,TLS_PROBLEM,ground_truth
,shop.example,https://shop.example/,22,0.0,120.248,144.633,368.867,211.809,845.557,912023,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.1422115836070188,0.17105056193727922,0.4362414361184403,0.2504964183372617,6.741177535395999,13.723421584499688,1,1,264.88100000000003,1.1928691607284245,NORMAL,ground_truth
,legacy.example,https://legacy.example/,14,0.0,28.909,90.88,271.274,16.025,407.087,265311,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.07101430406768086,0.223244662688811,0.6663784399894863,0.039365049731384195,6.011480386966865,12.488661770915945,0,1,119.78899999999999,3.0385502691497543,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,5,12.804,67.699,23.152,54.918,8.486,167.059,52068,200.0,cold,0,1,,,synthetic,CONNECT_PROBLEM,0.07664358101030175,0.4052400648872554,0.13858576909953968,0.32873415978785936,0.050796425215043794,5.124315108226508,10.86032504105607,0,0,90.851,0.33700636108240295,CONNECT_PROBLEM,ground_truth
,api.example,https://api.example/,21,0.0,40.01,421.932,206.361,7.368,675.671,44046,200.0,warm,0,1,,,synthetic,TLS_PROBLEM,0.0,0.0592152097692516,0.6244636812886745,0.30541639348144284,0.010904715460630987,6.517185187288105,10.693012524618325,1,1,461.942,10.288514996342357,TLS_PROBLEM,ground_truth
,shop.example,https://shop.example/,4,10.666,66.76,1508.94,193.193,78.501,1858.059,251211,200.0,cold,0,1,,,synthetic,TLS_PROBLEM,0.005740398986253935,0.035929967778202954,0.8121055359383098,0.10397570798343864,0.04224892750983688,7.5278257247110965,12.434052483135835,0,0,1575.7,22.26889020070838,TLS_PROBLEM,ground_truth
,shop.example,https://shop.example/,18,18.638,30.707,101.363,214.221,89.708,454.637,743752,200.0,cold,0,1,,,synthetic,NORMAL,0.040995343537811486,0.06754179708206767,0.22295369712539895,0.47119130207176274,0.19731786018295916,6.121696439864658,13.519464269447287,0,0,132.07,3.1968650455735323,NORMAL,ground_truth
,shop.example,https://shop.example/,20,16.834,118.884,151.294,3999.034,118.669,4404.715,568663,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM,0.0038218136701239466,0.026990168489902298,0.03434819278886375,0.9078984678917932,0.026941357159316778,8.390657840749046,13.251045029022887,1,0,270.178,1.2620032698275,HTTP_PROBLEM,ground_truth
,cdn-far.example,https://cdn-far.example/,4,0.0,0.0,0.0,53.473,52.241,105.714,254490,200.0,warm,1,1,,,synthetic,NORMAL,0.0,0.0,0.0,0.5058270427757913,0.49417295722420873,4.670152358697749,12.447020750889653,0,1,0.0,0.0,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,2,10.982,43.905,24.572,23.339,15.638,118.435,131229,200.0,cold,0,1,,,synthetic,CONNECT_PROBLEM,0.09272596783045552,0.37070967197196775,0.20747245324439564,0.19706167940220373,0.132038671000971,4.782772290331923,11.784706787890332,0,0,68.477,0.5471996436922392,CONNECT_PROBLEM,ground_truth
,legacy.example,https://legacy.example/,20,25.876,67.077,200.962,3247.263,65.652,3606.83,315156,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM,0.007174166789119532,0.018597216946737164,0.055717070114200004,0.9003094129748284,0.01820213317511499,8.19086176255582,12.660826206339829,1,0,268.039,2.9519808452193836,HTTP_PROBLEM,ground_truth
,cdn-far.example,https://cdn-far.example/,0,318.943,92.579,133.032,66.514,4.476,615.545,69265,200.0,cold,0,1,,,synthetic,DNS_PROBLEM,0.5181473328513756,0.15040167656304576,0.21612067354945622,0.10805708762153864,0.007271604837989099,6.424131312641292,11.145709444293761,0,0,225.611,1.4216010002244095,DNS_PROBLEM,ground_truth
,api.example,https://api.example/,17,30.178,10.759,33.317,83.776,7.285,165.315,57291,200.0,cold,0,1,,,synthetic,NORMAL,0.18254846807609715,0.0650818135075462,0.20153646069624656,0.5067658712155582,0.044067386504551914,5.1138835805678085,10.955916276899755,0,0,44.076,2.833319159792499,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,6,7.664,9.574,35.86,83.005,26.675,162.778,103996,200.0,cold,0,1,,,synthetic,NORMAL,0.047082529580164394,0.058816301957266955,0.22030004054601973,0.509927631498114,0.16387349641843493,5.098511852264245,11.552117331553605,0,0,45.434,3.3913372422924155,NORMAL,ground_truth
,cdn-far.example,https://cdn-far.example/,9,0.0,160.384,3181.75,0.0,0.0,3342.134,0,,warm,0,0,TLS,,synthetic,TLS_PROBLEM,0.0,0.04798850076029267,0.9520114992397073,0.0,0.0,8.11466396937387,0.0,1,1,3342.134,19.715399296088833,TLS_PROBLEM,ground_truth
,legacy.example,https://legacy.example/,17,43.53,52.446,904.879,297.208,33.861,1331.924,312171,200.0,cold,0,1,,,synthetic,TLS_PROBLEM,0.03268204492148201,0.03937612055943132,0.679377351860917,0.22314186094702101,0.02542262171114868,7.195130304299771,12.651309596942776,0,0,957.325,16.930715114320996,TLS_PROBLEM,ground_truth
,legacy.example,https://legacy.example/,9,70.295,0.0,0.0,7585.768,70.045,7726.108,250852,200.0,cold,1,1,,,synthetic,HTTP_PROBLEM,0.009098371392167959,0.0,0.0,0.9818356150341154,0.009066013573716546,8.9524899447998,12.432622389179137,1,0,0.0,0.0,HTTP_PROBLEM,ground_truth
,api.example,https://api.example/,21,0.0,388.226,143.111,127.984,5.469,664.791,21626,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM,0.0,0.5839820334511147,0.21527216824535828,0.19251764840378402,0.008226645667585752,6.500975807476717,9.981697813072689,1,1,531.337,0.3676809873954977,CONNECT_PROBLEM,ground_truth
,legacy.example,https://legacy.example/,14,71.711,41.998,170.785,368.596,21.082,674.172,198934,200.0,cold,0,1,,,synthetic,NORMAL,0.10636899782251413,0.062295675287612054,0.2533255608361071,0.5467388144271788,0.03127095162658788,6.514967473227564,12.20073341718457,0,0,212.783,3.971928926926834,NORMAL,ground_truth
,media.example,https://media.example/,8,294.493,63.949,84.517,66.455,435.345,944.758,2345589,200.0,cold,0,1,,,synthetic,DNS_PROBLEM,0.3117126290542128,0.06768823338886783,0.08945888788451645,0.07034076451324042,0.46080054363127915,6.851986722372419,14.66804752736388,1,0,148.466,1.3012825447658931,DNS_PROBLEM,ground_truth
,cdn-near.example,https://cdn-near.example/,7,0.0,0.0,0.0,340.607,8.665,349.272,113706,200.0,warm,1,1,,,synthetic,HTTP_PROBLEM,0.0,0.0,0.0,0.9751912549531598,0.024808745046840282,5.858709995521453,11.641380243366855,0,1,0.0,0.0,HTTP_PROBLEM,ground_truth
,media.example,https://media.example/,11,17.173,47.669,173.478,1410.358,226.25,1874.928,1465333,200.0,cold,0,1,,,synthetic,HTTP_PROBLEM,0.009159285049879248,0.02542444296527653,0.0925251529658739,0.7522198185743665,0.12067130044460374,7.53685874929874,14.19759376079649,0,0,221.147,3.5644455402823154,HTTP_PROBLEM,ground_truth
,cdn-near.example,https://cdn-near.example/,0,0.0,0.0,0.0,21.415,4.482,25.896,58320,200.0,warm,1,1,,,synthetic,NORMAL,0.0,0.0,0.0,0.8269616929255483,0.17307692307692307,3.29197757666626,10.973717513311941,0,1,0.0,0.0,NORMAL,ground_truth
,legacy.example,https://legacy.example/,7,0.0,40.799,93.922,372.301,23.51,530.531,274988,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.07690219798654556,0.17703395277561537,0.7017516412801514,0.044314092861680095,6.275761521575022,12.524486375848687,0,1,134.721,2.2469915548218857,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,0,7.841,0.0,0.0,29.54,17.762,55.143,129852,200.0,cold,1,1,,,synthetic,NORMAL,0.14219393214007217,0.0,0.0,0.5356980940463885,0.32210797381353934,4.027902007339972,11.774158320405066,0,0,0.0,0.0,NORMAL,ground_truth
,shop.example,https://shop.example/,20,0.0,0.0,0.0,231.607,167.899,399.505,1105590,200.0,warm,1,1,,,synthetic,NORMAL,0.0,0.0,0.0,0.5797349219659328,0.4202675811316504,5.992726250824991,13.915890591586143,1,1,0.0,0.0,NORMAL,ground_truth
,cdn-far.example,https://cdn-far.example/,22,0.0,145.323,242.342,97.404,16.83,501.9,155154,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.28954572624028696,0.4828491731420602,0.19407053197848176,0.033532576210400476,6.220391343177919,11.952179896234467,1,1,387.665,1.6562126254929164,NORMAL,ground_truth
,legacy.example,https://legacy.example/,0,198.89,23.379,104.414,331.139,52.399,710.22,754681,200.0,cold,0,1,,,synthetic,DNS_PROBLEM,0.2800399876094731,0.03291796908000338,0.14701641744811467,0.46624848638450056,0.07377854749232632,6.566981805289108,13.534051747451894,0,0,127.793,4.282948439230485,DNS_PROBLEM,ground_truth
,cdn-far.example,https://cdn-far.example/,22,18.112,165.451,331.1,105.523,31.006,651.193,267786,200.0,cold,0,1,,,synthetic,NORMAL,0.027813566792026324,0.25407367708190964,0.5084514114863029,0.16204566081023597,0.04761414818648235,6.480340530393604,12.497947167371606,1,0,496.55100000000004,1.9891739911445412,NORMAL,ground_truth
,api.example,https://api.example/,7,0.0,18.462,39.41,191.935,4.919,254.726,60769,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.07247787819068333,0.15471526267440308,0.7534959132558121,0.019310945879101465,5.544106558786105,11.014851525129401,0,1,57.872,2.024971739800637,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,21,0.0,157.661,62.583,56.379,25.683,302.305,89830,200.0,warm,0,1,,,synthetic,CONNECT_PROBLEM,0.0,0.5215295810522486,0.20701940093614063,0.18649708076280577,0.08495724516630555,5.714738899886712,11.405685406299774,1,1,220.244,0.39444475958174974,CONNECT_PROBLEM,ground_truth
,api.example,https://api.example/,21,0.0,24.066,55.475,177.508,9.021,266.07,31131,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.0904498816101026,0.20849776374638254,0.6671477430751307,0.033904611568384264,5.587510796323746,10.345991508079278,1,1,79.541,2.213157264820873,NORMAL,ground_truth
,cdn-far.example,https://cdn-far.example/,0,0.0,84.55,167.828,94.475,15.288,362.141,173295,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.23347259768985007,0.4634327513316636,0.26087904987283955,0.04221560110564669,5.89479118859761,12.06275639407552,0,1,252.378,1.9617533606078317,NORMAL,ground_truth
,legacy.example,https://legacy.example/,13,37.269,47.86,144.024,261.945,21.656,512.754,224408,200.0,cold,0,1,,,synthetic,NORMAL,0.0726839771118314,0.09333910608205884,0.28088323055500297,0.5108590084133912,0.04223467783771555,6.241744551668212,12.321225558778288,0,0,191.88400000000001,2.947687269750307,NORMAL,ground_truth
,api.example,https://api.example/,9,0.0,53.579,59.311,73.35,1.758,187.998,10091,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.28499771274162494,0.3154873988021149,0.39016372514601216,0.009351163310247983,5.24173643299307,9.219498309760949,1,1,112.89,1.0867000128254456,NORMAL,ground_truth
,api.example,https://api.example/,9,25.908,20.452,4749.118,0.0,0.0,4795.479,0,,cold,0,0,TLS,,synthetic,TLS_PROBLEM,0.005402588563102872,0.004264850289199473,0.9903323526179554,0.0,0.0,8.475637386055986,0.0,1,0,4769.570000000001,221.38346074958045,TLS_PROBLEM,ground_truth
,shop.example,https://shop.example/,0,0.0,51.631,136.112,12021.105,154.059,12362.908,815000,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM,0.0,0.004176282796895359,0.011009707424822704,0.9723525403570099,0.012461388534153938,9.422536862266703,13.610944619216111,0,1,187.743,2.5861564477209247,HTTP_PROBLEM,ground_truth
,api.example,https://api.example/,11,0.0,26.498,75.16,56.797,6.129,164.585,35725,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.16099887596074977,0.4566637299875444,0.34509220159795845,0.03723911656590819,5.109484658138425,10.48363399400883,0,1,101.658,2.7332896937959124,NORMAL,ground_truth
,cdn-far.example,https://cdn-far.example/,2,15.629,81.527,165.305,68.148,23.944,354.552,164809,200.0,cold,0,1,,,synthetic,NORMAL,0.04408098106906744,0.22994370360342065,0.46623626435614524,0.19220875922290664,0.06753311220921049,5.873671511401598,12.012548574228227,0,0,246.832,2.003041428865705,NORMAL,ground_truth
,cdn-near.example,https://cdn-near.example/,23,0.0,0.0,0.0,65.295,15.012,80.307,87515,200.0,warm,1,1,,,synthetic,NORMAL,0.0,0.0,0.0,0.8130673540289141,0.18693264597108597,4.398232113708307,11.379576912772233,1,1,0.0,0.0,NORMAL,ground_truth
,legacy.example,https://legacy.example/,21,44.256,170.529,213.393,245.073,33.559,706.812,131039,200.0,cold,0,1,,,synthetic,NORMAL,0.06261353797049286,0.24126500398974549,0.30190913566832484,0.3467301064498056,0.04747938631488995,6.562178521709438,11.783257899086896,1,0,383.922,1.2440636860239376,NORMAL,ground_truth
,shop.example,https://shop.example/,13,0.0,0.0,0.0,1239.525,30.213,1269.738,345981,200.0,warm,1,1,,,synthetic,HTTP_PROBLEM,0.0,0.0,0.0,0.9762053273982507,0.023794672601749337,7.147353113040245,12.754142029565225,0,1,0.0,0.0,HTTP_PROBLEM,ground_truth
,cdn-near.example,https://cdn-near.example/,18,0.0,7.199,19.307,44.907,7.124,78.538,53807,200.0,warm,0,1,,,synthetic,NORMAL,0.0,0.09166263464819578,0.24583004405510708,0.5717869057016985,0.09070768290509053,4.376234894882072,10.893177433980052,0,1,26.506,2.354799365776314,NORMAL,ground_truth
,api.example,https://api.example/,9,0.0,56.639,113.396,3377.88,2.044,3549.96,9996,200.0,warm,0,1,,,synthetic,HTTP_PROBLEM,0.0,0.015954827660029973,0.03194289513121275,0.9515262143798804,0.0005757811355620909,8.17497326844709,9.210040326967182,1,1,170.035,1.9673484966775967,HTTP_PROBLEM,ground_truth
,cdn-near.example,https://cdn-near.example/,18,5625.711,0.0,0.0,0.0,0.0,5625.711,0,,cold,0,0,DNS,,synthetic,DNS_PROBLEM,1.0,0.0,0.0,0.0,0.0,8.635280358597717,0.0,0,0,0.0,0.0,DNS_PROBLEM,ground_truth
,media.example,https://media.example/,4,0.0,0.0,0.0,1000.732,175.527,1176.259,2355814,200.0,warm,1,1,,,synthetic,HTTP_PROBLEM,0.0,0.0,0.0,0.8507752119218641,0.14922478807813583,7.070944134029672,14.672397297750324,0,1,0.0,0.0,HTTP_PROBLEM,ground_truth
,api.example,https://api.example/,4,17.57,13.948,21.606,43.691,3.761,100.575,50798,200.0,cold,0,1,,,synthetic,NORMAL,0.17469550086999752,0.1386825751926423,0.2148247576435496,0.43441213025105646,0.03739497887148894,4.6207974418737905,10.83563194833345,0,0,35.554,1.4454107572919455,NORMAL,ground_truth
